GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
beauty-salon-backend,com.beautysalon.controller,ServiceController,0,88,0,4,0,24,0,11,0,9
beauty-salon-backend,com.beautysalon.controller,AppointmentController,0,106,0,4,0,28,0,13,0,11
beauty-salon-backend,com.beautysalon.controller,StaffController,0,88,0,4,0,24,0,11,0,9
beauty-salon-backend,com.beautysalon.controller,MonitoringController,0,56,0,4,0,16,0,7,0,5
beauty-salon-backend,com.beautysalon.controller,CustomerController,0,93,0,4,0,25,0,10,0,8
beauty-salon-backend,com.beautysalon.model,Customer,0,61,0,0,0,26,0,15,0,15
beauty-salon-backend,com.beautysalon.model,Appointment,0,92,0,0,0,39,0,23,0,23
beauty-salon-backend,com.beautysalon.model,Service,0,79,0,0,0,33,0,19,0,19
beauty-salon-backend,com.beautysalon.model,Staff,0,79,0,0,0,33,0,19,0,19
beauty-salon-backend,com.beautysalon.service,PerformanceMonitoringService,34,403,6,16,8,90,6,19,0,14
beauty-salon-backend,com.beautysalon.service,CustomerService,0,87,0,4,0,22,0,10,0,8
beauty-salon-backend,com.beautysalon.service,ServiceService,0,98,0,4,0,25,0,11,0,9
beauty-salon-backend,com.beautysalon.service,StaffService,0,98,0,4,0,25,0,11,0,9
beauty-salon-backend,com.beautysalon.service,AppointmentService,0,118,0,4,0,29,0,13,0,11
